	Atha_Ler.0_sShoots_FLT_Rep1_F.F2_raw.CEL	Atha_Ler.0_sShoots_FLT_Rep2_F.F3_raw.CEL	Atha_Ler.0_sShoots_FLT_Rep3_F.F4_raw.CEL	Atha_Ler.0_sShoots_GC_Rep1_H.F2_raw.CEL	Atha_Ler.0_sShoots_GC_Rep2_H.F3_raw.CEL	Atha_Ler.0_sShoots_GC_Rep3_H.F4_raw.CEL
254379_at	1.10212371638311	1.02397981261046	1.07911086668116	1.0773487901731	0.960331247291969	1.08614130222992
254380_at	1.57992302399517	1.51938380518973	1.39394748786283	1.30589506447957	1.3760345483723	1.61701184661931
254381_at	1.06505507774807	1.09165221407881	1.42088627774776	1.2627050307149	1.0538446334777	1.2292594179807
254382_at	1.40536974059581	1.26441883050771	1.48648143977154	2.50720865588053	1.93208824116687	1.51517823469102
254383_at	1.04519445692344	1.1987127564479	1.44607157725221	1.36864025657998	1.35443036017624	1.01412317917653
254384_at	1.4798148638354	2.46504126095563	2.11231881225661	1.58561378440124	1.52846516689781	1.32100568792151
254385_s_at	2.7427106782332	1.82883404584264	1.95107866136611	1.62230380515936	3.36624717466625	1.84665447139386
254386_at	10.0166201965624	9.90386473308402	9.64188991854106	8.64466548165136	8.5156104571131	7.61670148271432
254387_at	5.37729428432367	4.61666603335808	4.00388945071909	2.37829341802478	1.70023619599594	2.38136784066616
254388_at	2.62649895128355	3.05023035423024	3.11733885667821	3.16887865427949	4.11389658116986	3.41464279662581
254389_s_at	1.485627466248	1.06638220556551	1.55739867311556	1.11161739800678	1.33422358817422	1.18450133394834
254390_at	1.05320830698704	1.0578843071028	1.15263037427829	1.01359041027032	1.09412887459298	1.03199765053334
254391_at	1.43028648027723	1.63495868777284	1.39976206268896	1.4744795258511	1.5398120629605	1.45680655040152
254392_at	3.41146105986578	3.6199254917241	3.23584649379605	4.65145469629461	3.69447587614096	3.61035677188404
254393_at	5.10690337044917	5.08985313085757	4.98670075590104	6.02221703286047	5.23788885685172	5.84019120992858
254394_at	0.947767298287489	0.796312157851862	1.02970833562015	1.2595908759203	1.07688444354067	0.954536250895324
254395_at	1.14078638672476	1.04151569801894	1.1110848710882	1.38930625099271	1.49716378719882	1.80215648093209
254396_at	0.986701472716666	1.04836282737721	1.48020482837637	1.5492979107803	1.32893511306602	1.49142185217948
254397_at	0.988641658130348	0.979983414951157	1.04123989347803	1.41907569694244	1.29757144718159	1.08050977171688
254398_at	2.46916860749267	3.29226880038841	2.79514850869626	2.11016221820078	2.23959835207069	1.73434648596282
254399_at	6.77666267386394	6.85288015304963	6.46565857573402	6.29811004482792	6.12474077909687	6.4862805770882
254400_at	1.84831359013782	1.54145661050144	1.74580052427109	1.5120728783539	1.26512909966724	1.26337608192732
254401_at	1.41754418106159	1.05157431293222	1.31988502517758	1.01121910701118	1.08734560220714	1.11062832550322
254402_at	1.7893922803172	2.18798192266808	1.95709492919096	1.37873106961326	1.51048657879576	1.51048657879576
254403_at	1.01446505366621	1.21862871191625	1.04332490739216	1.14137926619828	2.27138550776465	2.4676765720905
254404_at	2.8944721042069	3.30890225754663	1.920292001065	1.92312841918081	1.61490584035296	1.94161004075376
254405_at	2.138059424868	1.81076188038754	2.42521692053019	2.64593364999443	2.31064216587484	2.85571484791559
254406_at	1.11161739800678	0.841888872568248	1.06167048261045	1.37189279912799	1.60628369922828	1.26868995330247
254407_at	1.32998540837901	1.20146529427767	1.31710045897869	1.36864025657998	1.67876324552349	1.484275421281
254408_at	1.88798789320993	2.09806800791732	1.80543079250167	2.13646465845619	1.42320485504995	2.64760447876866
254409_at	2.44499993744639	1.93695583901497	2.52273515694496	2.40159919467358	2.63111542621329	2.56311381103542
254410_at	3.7413778208923	3.36878680113528	3.59371097275892	3.49008729067862	3.36228605934806	4.23226884965802
254411_at	2.37766738447921	2.59879545982272	2.25832279573818	2.84423836300629	2.49923889450621	2.45510282994389
254412_at	1.99268326856245	2.28345379639647	2.74886845633928	2.15960030571274	1.7208256070101	1.29186533460927
